72,ASTROBIOLOGY,Abiogenesis (Astrobiology)
73,ASTROBIOLOGY,Biomarkers
74,ASTROBIOLOGY,Evolution of Life & Biodiversity
75,ASTROBIOLOGY,Exoplanetary Research (Astrobiology)
76,ASTROBIOLOGY,Life in the Solar System
77,ASTROBIOLOGY,Planetary Habitability
78,ASTROBIOLOGY,SETI - Search for Extra-Terrestrial Intelligence
79,ASTROBIOLOGY,"Stellar, Planetary & Atmospheric Evolution"
80,ASTROCHEMISTRY,Abiogenesis (Astrochemistry)
81,ASTROCHEMISTRY,Atomic & Molecular Astrophysics
82,ASTROCHEMISTRY,Cosmochemistry
83,ASTROCHEMISTRY,Nucleocosmochronology
84,ASTROPARTICLE PHYSICS,Cosmic Ray Physics (Astroparticle Physics)
85,ASTROPARTICLE PHYSICS,Neutrino Astronomy (Astroparticle Physics)
86,ASTROPARTICLE PHYSICS,Particle Physics  in Cosmology (Astroparticle Physics)
87,ASTROPARTICLE PHYSICS,"Related Astrophysics - Supernovae, AGN etc."
88,ATMOSPHERIC PHYSICS,Aeronomy
89,ATMOSPHERIC PHYSICS,Atmospheric Dynamics & Circulation
90,ATMOSPHERIC PHYSICS,Atmospheric Energetics
91,ATMOSPHERIC PHYSICS,Physical & Chemical Processes in the Atmosphere
92,ATMOSPHERIC PHYSICS,Weather Forecasting
93,ATMOSPHERIC PHYSICS,Weather Systems
94,CELESTIAL MECHANICS,Astrometry
95,CELESTIAL MECHANICS,CELESTIAL MECHANICS
96,CELESTIAL MECHANICS,Celestial Navigation
97,CELESTIAL MECHANICS,Ephemerides
98,CELESTIAL MECHANICS,Lunar Theory
99,COSMOLOGY,Gravitational Physics
100,COSMOLOGY,Non-Standard Cosmology
101,COSMOLOGY,Particle Physics in Cosmology
102,COSMOLOGY,Structure Formation
103,COSMOLOGY,Ultimate Fate of the Universe
104,GEODESY,Cartography
105,GEODESY,Geodetic Astronomy
106,GEODESY,Photogrammetry
107,GEODESY,Physical Geodesy
108,GEODESY,Surveying
109,OBSERVATIONAL ASTROPHYSICS,Earth Monitoring
110,OBSERVATIONAL ASTROPHYSICS,Gamma Ray Astronomy
111,OBSERVATIONAL ASTROPHYSICS,Gravitational Wave Astronomy
112,OBSERVATIONAL ASTROPHYSICS,Neutrino Astronomy (Observational Astrophysics)
113,OBSERVATIONAL ASTROPHYSICS,OBSERVATIONAL ASTROPHYSICS
114,OBSERVATIONAL ASTROPHYSICS,Spectroscopy
115,OBSERVATIONAL ASTROPHYSICS,UV Astronomy
116,OBSERVATIONAL ASTROPHYSICS,X-Ray Astronomy
117,PLANETARY SCIENCES,Exoplanetary Research (Planetary Sciences)
118,PLANETARY SCIENCES,Geomorphology
119,PLANETARY SCIENCES,Planetary Astronomy
120,PLANETARY SCIENCES,Theoretical Planetology
121,SPACE PHYSICS,Cosmic Ray Physics (Space Physics)
122,SPACE PHYSICS,"Heliospheric, Solar & Planetary Radio Emissions"
123,SPACE PHYSICS,Physics of Shockwaves
124,SPACE PHYSICS,Planetary Aurorae
125,SPACE PHYSICS,SPACE PHYSICS
126,SPACE PHYSICS,Synchrotron Radiation
127,STELLAR PHYSICS,Accretion Disks
128,STELLAR PHYSICS,Asteroseismology
129,STELLAR PHYSICS,Plasma Physics (Stellar Physics)
130,STELLAR PHYSICS,Stellar Evolution
